sampleID	total reads QC passed	mapped reads QC passed	percent reads mapped	paired in sequencing reads QC passed	properly paired QC passed	percent properly paired	with itself and mate mapped QC passed	singletons QC passed	percent singletons 	with mate mapped to a different chr QC passed	with mate mapped to a different chr (mapQ>=5) QC passed
RAD-CCGOM_wA01_MCK119_CWFL_sortfltr_flagstat.txt	9222630	8978892	97.36	9130325	8417028	92.19	8753365	133222	1.46	304994	196817
RAD-CCGOM_wA02_KKF378R_NGM_sortfltr_flagstat.txt	9404438	9160518	97.41	9305473	8561633	92.01	8914467	147086	1.58	319220	203849
RAD-CCGOM_wA03_MML047_NGM_sortfltr_flagstat.txt	1025551	1009267	98.41	1015845	955132	94.02	993403	6158	0.61	35112	25108
RAD-CCGOM_wA04_KKF351R_NGM_sortfltr_flagstat.txt	9752621	9486419	97.27	9655338	8901703	92.19	9251098	138038	1.43	316342	207201
RAD-CCGOM_wA05_KEY074_SWFL_sortfltr_flagstat.txt	4435845	4338195	97.80	4395574	4096937	93.21	4247590	50334	1.15	136534	88700
RAD-CCGOM_wA06_KEY047_SWFL_sortfltr_flagstat.txt	3775194	3648899	96.65	3742300	3446014	92.08	3573286	42719	1.14	115090	74649
RAD-CCGOM_wA07_KKF364R_NGM_sortfltr_flagstat.txt	5655327	5522392	97.65	5579402	5111019	91.61	5372846	73621	1.32	240588	170746
RAD-CCGOM_wA08_KEY444_SWFL_sortfltr_flagstat.txt	2515183	2438428	96.95	2495150	2314828	92.77	2393412	24983	1.00	71254	46954
RAD-CCGOM_wA09_PRCS502_DRTO_sortfltr_flagstat.txt	2396891	2348705	97.99	2375955	2220160	93.44	2302185	25584	1.08	74662	49263
RAD-CCGOM_wA10_KKF307R_NGM_sortfltr_flagstat.txt	3386705	3298637	97.40	3351474	3087986	92.14	3218914	44492	1.33	119234	80190
RAD-CCGOM_wA11_PRCS481_DRTO_sortfltr_flagstat.txt	2907132	2863139	98.49	2879837	2700649	93.78	2815441	20403	0.71	105550	75695
RAD-CCGOM_wA12_PRCS632_DRTO_sortfltr_flagstat.txt	2004038	1968553	98.23	1987288	1868340	94.01	1934838	16965	0.85	60354	40735
RAD-CCGOM_wB01_PRCS500C+C_DRTO_sortfltr_flagstat.txt	10728798	10461183	97.51	10626587	9802396	92.24	10206733	152239	1.43	368762	242416
RAD-CCGOM_wB02_KEY433_SWFL_sortfltr_flagstat.txt	2119381	2085858	98.42	2099473	1974338	94.04	2050891	15059	0.72	69786	47410
RAD-CCGOM_wB03_KKF325R_NGM_sortfltr_flagstat.txt	5745763	5580845	97.13	5693190	5256006	92.32	5448636	79636	1.40	173864	111362
RAD-CCGOM_wB04_MCK099_CWFL_sortfltr_flagstat.txt	5520550	5294449	95.90	5472514	4980323	91.01	5163490	82923	1.52	165628	105902
RAD-CCGOM_wB05_KEY048_SWFL_sortfltr_flagstat.txt	3250454	3180323	97.84	3218307	2990221	92.91	3109611	38565	1.20	108842	72437
RAD-CCGOM_wB06_PRCS543_DRTO_sortfltr_flagstat.txt	7093285	6949906	97.98	7029569	6556037	93.26	6809699	76491	1.09	231664	152509
RAD-CCGOM_wB07_KEY419_SWFL_sortfltr_flagstat.txt	2079209	2040796	98.15	2061072	1931297	93.70	2005630	17029	0.83	68134	47307
RAD-CCGOM_wB08_MCK080_CWFL_sortfltr_flagstat.txt	12118599	11775434	97.17	11997036	11025671	91.90	11472698	181173	1.51	405288	261374
RAD-CCGOM_wB09_MCK117_CWFL_sortfltr_flagstat.txt	11823668	11502008	97.28	11706317	10774725	92.04	11214787	169870	1.45	399582	261519
