sampleID	total reads QC passed	mapped reads QC passed	percent reads mapped	paired in sequencing reads QC passed	properly paired QC passed	percent properly paired	with itself and mate mapped QC passed	singletons QC passed	percent singletons 	with mate mapped to a different chr QC passed	with mate mapped to a different chr (mapQ>=5) QC passed
RAD-CCGOM_wA01_MCK119_CWFL_sort_flagstat.txt	15848430	15604692	98.46	15747492	15019518	95.38	15370532	133222	0.85	304994	196817
RAD-CCGOM_wA02_KKF378R_NGM_sort_flagstat.txt	16273906	16029986	98.50	16165674	15406944	95.31	15774668	147086	0.91	319220	203849
RAD-CCGOM_wA03_MML047_NGM_sort_flagstat.txt	1429693	1413409	98.86	1419430	1357756	95.66	1396988	6158	0.43	35112	25108
RAD-CCGOM_wA04_KKF351R_NGM_sort_flagstat.txt	16724441	16458239	98.41	16618346	15849268	95.37	16214106	138038	0.83	316342	207201
RAD-CCGOM_wA05_KEY074_SWFL_sort_flagstat.txt	7315253	7217603	98.67	7271598	6966996	95.81	7123614	50334	0.69	136534	88700
RAD-CCGOM_wA06_KEY047_SWFL_sort_flagstat.txt	6049096	5922801	97.91	6013598	5711942	94.98	5844584	42719	0.71	115090	74649
RAD-CCGOM_wA07_KKF364R_NGM_sort_flagstat.txt	9280346	9147411	98.57	9198004	8720340	94.81	8991448	73621	0.80	240588	170746
RAD-CCGOM_wA08_KEY444_SWFL_sort_flagstat.txt	3812171	3735416	97.99	3790828	3607696	95.17	3689090	24983	0.66	71254	46954
RAD-CCGOM_wA09_PRCS502_DRTO_sort_flagstat.txt	3767536	3719350	98.72	3744976	3586304	95.76	3671206	25584	0.68	74662	49263
RAD-CCGOM_wA10_KKF307R_NGM_sort_flagstat.txt	5639528	5551460	98.44	5601334	5332610	95.20	5468774	44492	0.79	119234	80190
RAD-CCGOM_wA11_PRCS481_DRTO_sort_flagstat.txt	4239728	4195735	98.96	4210560	4027924	95.66	4146164	20403	0.48	105550	75695
RAD-CCGOM_wA12_PRCS632_DRTO_sort_flagstat.txt	3067198	3031713	98.84	3049286	2927902	96.02	2996836	16965	0.56	60354	40735
RAD-CCGOM_wB01_PRCS500C+C_DRTO_sort_flagstat.txt	18468932	18201317	98.55	18357106	17515714	95.42	17937252	152239	0.83	368762	242416
RAD-CCGOM_wB02_KEY433_SWFL_sort_flagstat.txt	3054352	3020829	98.90	3033206	2905638	95.79	2984624	15059	0.50	69786	47410
RAD-CCGOM_wB03_KKF325R_NGM_sort_flagstat.txt	9738179	9573261	98.31	9681058	9235490	95.40	9436504	79636	0.82	173864	111362
RAD-CCGOM_wB04_MCK099_CWFL_sort_flagstat.txt	9300117	9074016	97.57	9247970	8747826	94.59	8938946	82923	0.90	165628	105902
RAD-CCGOM_wB05_KEY048_SWFL_sort_flagstat.txt	5221972	5151841	98.66	5187362	4954600	95.51	5078666	38565	0.74	108842	72437
RAD-CCGOM_wB06_PRCS543_DRTO_sort_flagstat.txt	11459381	11316002	98.75	11390384	10907542	95.76	11170514	76491	0.67	231664	152509
RAD-CCGOM_wB07_KEY419_SWFL_sort_flagstat.txt	3109749	3071336	98.76	3090356	2957968	95.72	3034914	17029	0.55	68134	47307
RAD-CCGOM_wB08_MCK080_CWFL_sort_flagstat.txt	21454892	21111727	98.40	21321718	20329406	95.35	20797380	181173	0.85	405288	261374
RAD-CCGOM_wB09_MCK117_CWFL_sort_flagstat.txt	20457227	20135567	98.43	20329126	19378402	95.32	19837596	169870	0.84	399582	261519
RAD-CCGOM_wB10_MCK128_CWFL_sort_flagstat.txt	2926924	2882344	98.48	2910264	2780916	95.56	2842050	23634	0.81	53008	34173
RAD-CCGOM_wB11_PRCS498_DRTO_sort_flagstat.txt	3232111	3193588	98.81	3204826	3046034	95.05	3146602	19701	0.61	89926	66141
RAD-CCGOM_wB12_PRCS514_DRTO_sort_flagstat.txt	2820252	2790048	98.93	2794778	2657694	95.09	2749850	14724	0.53	82042	59575
RAD-CCGOM_wC01_MCK121_CWFL_sort_flagstat.txt	15024764	14618603	97.30	14752804	13037094	88.37	14118654	227989	1.55	840966	458976
RAD-CCGOM_wC02_KKF369R_NGM_sort_flagstat.txt	6061886	5971624	98.51	6003036	5678674	94.60	5862990	49784	0.83	163228	116944
RAD-CCGOM_wC03_MCK065_CWFL_sort_flagstat.txt	8466	8354	98.68	8426	8060	95.66	8264	50	0.59	174	130
RAD-CCGOM_wC04_KEY076_SWFL_sort_flagstat.txt	17745547	17467522	98.43	17635456	16805960	95.30	17196796	160635	0.91	338742	219881
RAD-CCGOM_wC05_PRCS682_DRTO_sort_flagstat.txt	32463789	32011910	98.61	32179156	30494378	94.76	31462740	264537	0.82	851078	598973
RAD-CCGOM_wC06_MCK079_CWFL_sort_flagstat.txt	23853148	23460905	98.36	23687014	22500940	94.99	23092716	202055	0.85	520234	350531
RAD-CCGOM_wC07_KEY428_SWFL_sort_flagstat.txt	1125349	1107850	98.45	1118482	1068700	95.55	1094746	6237	0.56	23344	15702
RAD-CCGOM_wC08_KEY438_SWFL_sort_flagstat.txt	9984961	9779040	97.94	9921304	9423266	94.98	9652566	62817	0.63	201468	133108
RAD-CCGOM_wC09_MCK127_CWFL_sort_flagstat.txt	17382970	17081838	98.27	17267842	16400044	94.97	16816030	150680	0.87	363476	242428
RAD-CCGOM_wC10_PRCS549_DRTO_sort_flagstat.txt	6300374	6227692	98.85	6261502	6003962	95.89	6152078	36742	0.59	130312	88143
RAD-CCGOM_wC11_MCK102_CWFL_sort_flagstat.txt	9106463	8967597	98.48	9045494	8614338	95.23	8831888	74740	0.83	190980	127935
RAD-CCGOM_wC12_PRCS548_DRTO_sort_flagstat.txt	2967900	2934492	98.87	2950232	2830878	95.95	2900894	15930	0.54	61902	41701
RAD-CCGOM_wD01_KKF301R_NGM_sort_flagstat.txt	4276200	4218507	98.65	4233940	4007582	94.65	4142984	33263	0.79	120372	85665
RAD-CCGOM_wD02_KKF353R_NGM_sort_flagstat.txt	9113690	8949241	98.20	9025876	8524350	94.44	8788814	72613	0.80	234008	165800
RAD-CCGOM_wD03_KKF362R_NGM_sort_flagstat.txt	18459442	18157518	98.36	18347118	17499308	95.38	17889596	155598	0.85	340108	220446
