sampleID	total reads QC passed	mapped reads QC passed	percent reads mapped	paired in sequencing reads QC passed	properly paired QC passed	percent properly paired	with itself and mate mapped QC passed	singletons QC passed	percent singletons 	with mate mapped to a different chr QC passed	with mate mapped to a different chr (mapQ>=5) QC passed
RAD-CCGOM_wA01_MCK119_CWFL_sortfltr_flagstat.txt	6612643	6431736	97.26	6451652	5444692	84.39	6143134	127611	1.98	593908	298377
RAD-CCGOM_wA02_KKF378R_NGM_sortfltr_flagstat.txt	6774784	6590827	97.28	6605684	5552120	84.05	6281084	140643	2.13	620560	311213
RAD-CCGOM_wA03_MML047_NGM_sortfltr_flagstat.txt	673032	661539	98.29	656184	576715	87.89	638504	6187	0.94	52088	28192
RAD-CCGOM_wA04_KKF351R_NGM_sortfltr_flagstat.txt	6988145	6803193	97.35	6816007	5775483	84.73	6501147	129908	1.91	618508	315770
RAD-CCGOM_wA05_KEY074_SWFL_sortfltr_flagstat.txt	3101264	3036045	97.90	3028856	2608063	86.11	2917610	46027	1.52	262154	132289
RAD-CCGOM_wA06_KEY047_SWFL_sortfltr_flagstat.txt	2639214	2552832	96.73	2576944	2191433	85.04	2449448	41114	1.60	218272	110524
RAD-CCGOM_wA07_KKF364R_NGM_sortfltr_flagstat.txt	3989694	3891456	97.54	3881584	3267032	84.17	3711964	71382	1.84	381110	205106
RAD-CCGOM_wA08_KEY444_SWFL_sortfltr_flagstat.txt	1723587	1670762	96.94	1682764	1448057	86.05	1605262	24677	1.47	132700	67732
RAD-CCGOM_wA09_PRCS502_DRTO_sortfltr_flagstat.txt	1665655	1631784	97.97	1623999	1404398	86.48	1565465	24663	1.52	135556	69361
RAD-CCGOM_wA10_KKF307R_NGM_sortfltr_flagstat.txt	2419464	2358088	97.46	2358625	2003406	84.94	2255421	41828	1.77	214582	111791
RAD-CCGOM_wA11_PRCS481_DRTO_sortfltr_flagstat.txt	1924732	1893409	98.37	1874980	1644335	87.70	1823066	20591	1.10	152314	83701
RAD-CCGOM_wA12_PRCS632_DRTO_sortfltr_flagstat.txt	1379575	1355091	98.23	1346889	1178388	87.49	1305595	16810	1.25	107574	55998
