sampleID	total reads QC passed	mapped reads QC passed	percent reads mapped	paired in sequencing reads QC passed	properly paired QC passed	percent properly paired	with itself and mate mapped QC passed	singletons QC passed	percent singletons 	with mate mapped to a different chr QC passed	with mate mapped to a different chr (mapQ>=5) QC passed
RAD-CCGOM_wA01_MCK119_CWFL_sort_flagstat.txt	9910215	9729308	98.17	9724646	8674036	89.20	9416128	127611	1.31	593908	298377
RAD-CCGOM_wA02_KKF378R_NGM_sort_flagstat.txt	10186570	10002613	98.19	9991118	8892346	89.00	9666518	140643	1.41	620560	311213
RAD-CCGOM_wA03_MML047_NGM_sort_flagstat.txt	881732	870239	98.70	863078	780510	90.43	845398	6187	0.72	52088	28192
RAD-CCGOM_wA04_KKF351R_NGM_sort_flagstat.txt	10479260	10294308	98.24	10279540	9192740	89.43	9964680	129908	1.26	618508	315770
RAD-CCGOM_wA05_KEY074_SWFL_sort_flagstat.txt	4484729	4419510	98.55	4402898	3965306	90.06	4291652	46027	1.05	262154	132289
RAD-CCGOM_wA06_KEY047_SWFL_sort_flagstat.txt	3766500	3680118	97.71	3696156	3296292	89.18	3568660	41114	1.11	218272	110524
RAD-CCGOM_wA07_KKF364R_NGM_sort_flagstat.txt	5794257	5696019	98.30	5672128	5032884	88.73	5502508	71382	1.26	381110	205106
RAD-CCGOM_wA08_KEY444_SWFL_sort_flagstat.txt	2381391	2328566	97.78	2335118	2091070	89.55	2257616	24677	1.06	132700	67732
RAD-CCGOM_wA09_PRCS502_DRTO_sort_flagstat.txt	2349425	2315554	98.56	2302130	2072300	90.02	2243596	24663	1.07	135556	69361
RAD-CCGOM_wA10_KKF307R_NGM_sort_flagstat.txt	3520760	3459384	98.26	3452090	3082818	89.30	3348886	41828	1.21	214582	111791
RAD-CCGOM_wA11_PRCS481_DRTO_sort_flagstat.txt	2625035	2593712	98.81	2568126	2325988	90.57	2516212	20591	0.80	152314	83701
RAD-CCGOM_wA12_PRCS632_DRTO_sort_flagstat.txt	1910274	1885790	98.72	1873684	1698340	90.64	1832390	16810	0.90	107574	55998
RAD-CCGOM_wB01_PRCS500C+C_DRTO_sort_flagstat.txt	11555831	11366776	98.36	11338392	10151440	89.53	11005520	143817	1.27	683948	348124
RAD-CCGOM_wB02_KEY433_SWFL_sort_flagstat.txt	1895507	1868784	98.59	1856614	1674678	90.20	1813664	16227	0.87	112324	58353
RAD-CCGOM_wB03_KKF325R_NGM_sort_flagstat.txt	6073973	5962273	98.16	5962214	5337886	89.53	5777214	73300	1.23	352122	176801
RAD-CCGOM_wB04_MCK099_CWFL_sort_flagstat.txt	5834362	5681460	97.38	5728400	5075860	88.61	5498458	77040	1.34	336898	169399
RAD-CCGOM_wB05_KEY048_SWFL_sort_flagstat.txt	3270611	3219993	98.45	3206204	2868166	89.46	3118744	36842	1.15	201108	102035
RAD-CCGOM_wB06_PRCS543_DRTO_sort_flagstat.txt	7163982	7058070	98.52	7023766	6310668	89.85	6842066	75788	1.08	425848	216129
RAD-CCGOM_wB07_KEY419_SWFL_sort_flagstat.txt	1938208	1911095	98.60	1898434	1711490	90.15	1854436	16885	0.89	114120	60111
RAD-CCGOM_wB08_MCK080_CWFL_sort_flagstat.txt	13481722	13235140	98.17	13229930	11812674	89.29	12812654	170694	1.29	801752	404571
RAD-CCGOM_wB09_MCK117_CWFL_sort_flagstat.txt	12844588	12612265	98.19	12593944	11234860	89.21	12198592	163029	1.29	770248	390201
RAD-CCGOM_wB10_MCK128_CWFL_sort_flagstat.txt	1831023	1800011	98.31	1795602	1609176	89.62	1742298	22292	1.24	106580	54055
RAD-CCGOM_wB11_PRCS498_DRTO_sort_flagstat.txt	2014057	1985698	98.59	1969886	1762242	89.46	1922188	19339	0.98	129528	72368
RAD-CCGOM_wB12_PRCS514_DRTO_sort_flagstat.txt	1758095	1735929	98.74	1717988	1538758	89.57	1680754	15068	0.88	115246	63826
RAD-CCGOM_wC01_MCK121_CWFL_sort_flagstat.txt	9153448	9050211	98.87	9098850	8703202	95.65	8925494	70119	0.77	169040	111372
RAD-CCGOM_wC02_KKF369R_NGM_sort_flagstat.txt	3788846	3724274	98.30	3705544	3284234	88.63	3593720	47252	1.28	250266	136549
RAD-CCGOM_wC03_MCK065_CWFL_sort_flagstat.txt	5134	5062	98.60	5034	4568	90.74	4922	40	0.79	280	155
